,artist_genre,artist_name,ft_acousticness,ft_danceability,ft_energy,ft_instrumentalness,ft_key,ft_liveness,ft_loudness,ft_mode,ft_speechiness,ft_tempo,ft_valence,rank,time_range,track_id,track_name,track_popularity,track_release_date,key_note
36,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Offset,0.149,0.88,0.428,5.07e-05,9,0.114,-8.28,1,0.206,100.007,0.333,37,medium_term,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (& Metro Boomin),83,2017-10-30,A
37,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Future,0.0102,0.833,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,0.281,38,medium_term,0VgkVdmE4gld66l8iyGjgx,Mask Off,82,2017-06-30,D
38,['escape room'],Anderson .Paak,0.0144,0.567,0.815,2.14e-05,8,0.126,-4.915,1,0.141,164.834,0.325,39,medium_term,6RpunyUP44SDweJPDScLSF,Come Home (feat. André 3000),64,2019-04-12,G#
39,[],Nito,0.785,0.535,0.421,0.00449,3,0.128,-8.415,1,0.027,68.978,0.306,40,medium_term,52IGTutVk1wJI3OMz687pT,By Your Side,37,2018-10-24,D#
40,['turntablism'],C2C,0.00262,0.798,0.778,0.0883,10,0.28,-5.236,0,0.143,96.978,0.624,41,medium_term,5KTZsi6HKh2laUVsgaU3ag,The Beat,37,2012-01-01,A#
41,[],Nito,0.835,0.591,0.456,0.923,3,0.39,-6.647,0,0.037,147.985,0.163,42,medium_term,2J14cEKJOkPWdS7yZVfkje,Calm,37,2018-12-08,D#
42,[],Nito,0.653,0.508,0.256,0.722,1,0.0797,-13.302,1,0.0392,171.02,0.624,43,medium_term,5DVzeTaRWU3ryXM3qNN9qg,Secret,40,2018-08-12,C#
43,"['late romantic era', 'violin']",Pablo de Sarasate,0.815,0.284,0.0949,0.327,0,0.127,-22.629,0,0.0421,101.058,0.0465,44,medium_term,5aq7wRwq9IDDqAa56x7Yws,"Zigeunerweisen, Op. 20: Lento",37,1971,C
44,"['hip hop', 'pop rap', 'rap']",Jaden,0.222,0.786,0.82,0.0,9,0.575,-5.093,0,0.232,119.982,0.49,45,medium_term,22nyEAEM29tcBRhukR089b,Icon,76,2017-11-17,A
45,"['chicago rap', 'rap']",Kanye West,0.0679,0.563,0.496,5.61e-05,6,0.173,-9.381,0,0.405,140.001,0.424,46,medium_term,4qikXelSRKvoCqFcHLB2H2,Mercy,72,2012-01-01,F#
